Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
OB1,11,"Fairfax, VA",Privately Held (backing),"Operator of a peer-to-peer trade platform intended to offer a cryptocurrency marketplace. The company's peer-to-peer trade platform helps cryptocurrency enthusiasts buy and sell anything they want without relying on centralized servers or governing bodies through cryptocurrency rather than credit cards or wire transfers, enabling participants to engage in trade directly with each other using bitcoin.","Cryptocurrency/Blockchain, E-Commerce, FinTech, Mobile, TMT",Consumer Products and Services (B2C),Retail,13-Mar-18,Early Stage VC,Series A,5,31.9,10.71,8,"Andreessen Horowitz, Bitmain, BlueYard Capital, Digital Currency Group, Everplans, OMERS Ventures, Union Square Ventures, William Mougayar",www.ob1.io
Pachyderm,11,"San Francisco, CA",Privately Held (backing),"Provider of a containerized data analytic platform designed to deploy and manage multi-stage, language-agnostic data pipelines. The company's platform consistently recreates results from any previous state of data or analysis, enabling users to store and analyze data using containers that use a copy-on-write distributed file system to provide full control of a users data.","Big Data, SaaS, TMT",Information Technology,Software,15-Nov-18,Early Stage VC,Series A,10,40,12.12,13,"ACE & Company, Benchmark (San Francisco), Blumberg Capital, Blumberg Capital Partners, Caffeinated Capital, Data Collective, Foundation Capital, Jonathan Abrams, Paul Buchheit, Soma Capital, Susa Ventures, Tuesday Capital, Y Combinator",www.pachyderm.io
VidMob,11,"New York, NY",Privately Held (backing),"Provider of an online platform designed to simplify the video creation workflow. The company's online platform is a mobile vertical marketplace that offers the opportunity to get professional videos created from the raw media that exists on their devices, enabling Small and Medium Businesses (SMBs) to stay connected with valuable audiences.","Mobile, SaaS, TMT",Information Technology,Software,11-May-18,Early Stage VC,,6.4,60.4,14.12,9,"Acadia Woods Partners, Foundation Capital, George Rose, Interlock Partners, Macanta Investments, Manifest Investment Partners, Stampede Ventures, Structure Fund, You & Mr Jones Brandtech Ventures",www.vidmob.com
Catalia Health,11,"San Francisco, CA",Privately Held (backing),"Developer of a cloud-based patient care management platform designed to offer an artificial intelligence enabled personalized healthcare social robot. The company's platform combines artificial intelligence, psychology and medical practices to deliver everyday care to patients from chronic illnesses such as rheumatoid arthritis, late-stage kidney disease and congestive heart failure, as well as completes daily check-ins using tailored conversations with patients to help them manage care routines, overcome the challenges of isolating illnesses, enabling healthcare professionals to stay informed about their patient health, progress and adherence to treatment.","Artificial Intelligence & Machine Learning, Digital Health, HealthTech, Robotics and Drones, SaaS, TMT",Healthcare,Healthcare Technology Systems,31-Jan-18,Accelerator/Incubator,,,,8.85,20,"Abstract Ventures, Andra Keay, California Institute for Quantitative Biosciences, DeNA, Fusion Fund, IDEO Futures, Innolinks Ventures, Ion Pacific, Jason Cahill, John McPeake, Khosla Ventures, Lucky Capital, Macnica, MedTech Innovator, Q Venture Partners, Ranch Ventures, Silicon Valley Growth Syndicate, Stex25, Tony Ling, Tradecraft",www.cataliahealth.com
Preteckt,11,"Memphis, TN",Privately Held (backing),"Developer of a Prognostics as a Service (PaaS) platform designed to help trucking fleets to optimize their operations and minimize costs. The company's platform peers through vehicle data and leverages proprietary AI, deep learning and machine learning algorithms to detect servicing needs, predict charging system issue and emission system issues, enabling autonomous vehicle manufacturers and service providers to decrease their downtime, decrease their costs and run more efficiently.","Artificial Intelligence & Machine Learning, Autonomous cars, Big Data, SaaS",Information Technology,Software,26-Dec-18,Seed Round,Seed Round,2.69,6.39,3.86,11,"500 Startups, Comet Labs, Creative Destruction Lab, GrowthX, Innova Memphis, Las Olas Venture Capital, Plug and Play Tech Center, Q Venture Partners, Start Co. (VC), TENN Master Accelerator Program, XG Ventures",www.preteckt.com
Ayar Labs,11,"Emeryville, CA",Privately Held (backing),"Developer of fiber optic transceivers intended to offer connectivity system that is about to revolutionize computing. The company's system provides a transceiver for fiber optics embedded inside computer chips to increase the bandwidth of data, enabling clients to get speed and efficiency of light to computer systems.",TMT,Information Technology,Communications and Networking,30-Apr-19,Debt - General,,3,,29.5,9,"CITRIS Foundry, Founders Fund, Intel Capital, Massachusetts Institute of Technology, National Science Foundation, Rising Tide Fund, Silicon Catalyst, TechU, The House Fund",www.ayarlabs.com
AxleHire,11,"Berkeley, CA",Privately Held (backing),Provider of a database of contract drivers for companies to utilize for various hauling needs. The company provides a network of pre-qualified drivers for transportation companies.,TMT,Information Technology,Software,30-Jun-17,Early Stage VC,Series A,4.3,14.8,4.42,7,"Acorn Pacific Ventures, Bee Partners, CrowdSmart, Richard Chen, SkyDeck (Berkeley), Virga Ventures, Westfield Labs",www.axlehire.com
Lightstream (Streaming Software),11,"Chicago, IL",Privately Held (backing),"Developer of cloud-based live streaming studio intended for content creators. The company's platforms allow cloud-based video composting and encoding to keep the resource usage to a minimum, multiplayer streaming for gaming with friends, and other features, providing content creators with simple, powerful and collaborative video streaming platform.","SaaS, TMT",Information Technology,Software,26-Feb-19,Early Stage VC,Series A,8,16,8.12,9,"Alan Matthew, Drive Capital, Graphene Ventures, Math Venture Partners, MK Capital, Pritzker Group Venture Capital, Right Side Capital Management, Techstars, Tribal Ventures",www.golightstream.com
Lottery.com,11,"San Francisco, CA",Privately Held (backing),"Provider of mobile lottery services intended to help the lottery industry win over millennials. The company's mobile application Tap, tap, ticket, enables users to buy tickets from their smartphone and scan a paper ticket purchased in-store to track it and get notifications if they win, eliminating lost tickets and the need to track down results and ensuring safety and security by verifying user identity, location and age to provide the best and most-legitimate mobile lottery experience.","Mobile, TMT",Information Technology,Software,10-Jul-17,Early Stage VC,Series A,17,120,19.42,21,"11-11 Ventures, 500 Startups, Arun Venkatachalam, Aurum Partners, Benjamin Narasin, Brett Terrill, Daniel Janney, David Collier, Faysal Sohail, Guy Nohra, Intellectus Partners, Jason Port, Jason Robins, Jordan Mendell, Kirk Dizon, Larry Randall, Nick Talarico, Robert Simon, Thomas Arrix, TriplePoint Capital, Zeid Masri",www.lottery.com
Home61,11,"Miami, FL",Privately Held (backing),"Operator of residential brokerage firm intended to provide real estate brokerage services. The company's residential brokerage services focus on the buyer's and renter's side of sales and rentals, using an automated system to provide leads to agents, enabling purchasers to avail quick real estate services.",TMT,Consumer Products and Services (B2C),Services (Non-Financial),1-Mar-18,Seed Round,Seed Round,4,12,5,17,"500 Startups, 5xmais, All Iron Ventures, B&Y Venture Partners, Day One Ventures, Fabrice Grinda, FJ Labs, Founders Fund, German Ventures, Jacques Antoine Granjon, Jérémie Berrebi, Jose Marin, Kima Ventures, MC Capital, Miami Angels, Peter Livingston, TA Ventures",www.home61.com
PastureMap,11,"San Francisco, CA",Privately Held (backing),"Developer of a grazing management and ranching software designed to improve cattle grazing and achieve grass fed certifications. The company's software uses intelligent mobile records, combined with aerial imaging, soil maps and rainfall data to help ranchers improve grazing practices, optimize land use and significantly reduce livestock resource requirements, enabling ranchers to map and subdivide pastures, record herd, animal weights and plan water and infrastructure points.","AgTech, Mobile, SaaS, TMT",Information Technology,Software,2-Nov-17,Seed Round,Seed Round,1.53,,2.13,16,"#Angels, Alumni Ventures Group, Castor Ventures, Charles Ju, Echoing Green, Elemental Excelerator, Food System 6 Accelerator, Nasheet Islam, Silicon Valley Social Venture Fund, Social Venture Circle, Spike Ventures, StartX, TEC Ventures, TomKat Center for Sustainable Energy, Ulu Ventures, Westly Foundation",www.pasturemap.com
Polly,11,"Seattle, WA",Privately Held (backing),"Provider of an online employee feedback gathering platform intended to help businesses to build enterprise surveys and polls. The company's platform offers a chatbot that users can train to gather, connect and analyze data from employees within team, enabling clients to collect feedback in an enhanced way.","Mobile, SaaS, TMT",Information Technology,Software,13-Feb-19,Early Stage VC,Series A,7,27,10.42,10,"Amplify Partners, Fathom Capital (San Francisco), Half Court Ventures, Madrona Venture Group, Right Side Capital Management, Slack, SV Angel, Techstars, Tempo Ventures, ZhenFund",www.polly.ai
Imperfect Produce,11,"San Francisco, CA",Privately Held (backing),"Provider of an online marketplace designed to sell imperfect fruits and vegetables. The company's online marketplace specializes in sourcing, acquiring and sale of de-shaped fruits and vegetables at discounted prices to its consumers.","E-Commerce, FoodTech, TMT",Consumer Products and Services (B2C),Consumer Non-Durables,24-Oct-18,Early Stage VC,Series B1,30,179.96,40.71,11,"Alrai Capital, Corigin Ventures, Correlation Ventures, Flybridge Capital Partners, Founders Circle Capital, Fresh Source Capital, Gratitude Railroad, Maveron, Ranch Ventures, Shasta Ventures, Thirtyfive Ventures",www.imperfectproduce.com
Heureka Software,11,"Cleveland, OH",Privately Held (backing),"Provider of technology based services for litigation and compliance. The company provides technology based services, collect electronically stored information for litigation, classify data for compliance or comply with regulatory bodies.",,Business Products and Services (B2B),Commercial Services,26-Jul-17,Seed Round,Seed Round,1.8,,2.85,4,"Bridge Investments, JumpStart, Lorain County Community College Foundation, NCT Ventures",www.heurekasoftware.com
Lively,11,"New York, NY",Privately Held (backing),"Provider of lingerie created to offer women an alternative to expensive and uncomfortable undergarments. The company's clothing includes a range of bras, underwear, swim wear and leisure wear designed to blend the most desirable elements of high-style with comfort, providing women with comfortable and stylish garments that feel good and look good.","E-Commerce, TMT",Consumer Products and Services (B2C),Apparel and Accessories,16-Aug-18,Early Stage VC,Series A,6.5,101,15.08,7,"Gelmart International, GGV Capital, Harvey Sanders, Interplay Ventures, Leandra Medine, NF Ventures, Ore Ventures",www.wearlively.com
Instrumental (Business/Productivity Software),11,"Los Altos, CA",Privately Held (backing),"Developer of an analytics software designed to automate factory operating system. The company's analytics software exposes assembly line data to find and fix assembly line issues earlier and faster and retroactively evaluate actual part dimensional capability within minutes of the root cause, enabling engineers to to measure almost any dimension from any stage of assembly, at any time, without physical access to the unit or the factory.","Artificial Intelligence & Machine Learning, Big Data, TMT",Information Technology,Software,,Accelerator/Incubator,,,,7.5,4,"Eclipse Ventures, First Round Capital, Root Ventures, StartX",www.instrumental.com
Lumavate,11,"Carmel, IN",Privately Held (backing),"Provider of a software-as-a-service platform intended to connect products and end-users. The company's software-as-a-service platform combines smart packaging with IoT to facilitate the connection of products and end-users at key moments in a product's lifecycle as well as to create a new, captive channel, enabling companies to monetize their IoT strategy and open new revenue streams to accelerate their growth.","Internet of Things, Mobile, SaaS, TMT",Information Technology,Software,14-Mar-19,Early Stage VC,,3.07,,9.32,7,"4G Ventures, Allos Ventures, BioCrossroads, Collina Ventures, Donald Brown, Elevate Ventures, Jupiter Peak Capital",www.lumavate.com
Alto (Individual Retirement Accounts),11,"Nashville, TN",Privately Held (backing),"Provider of an alternative asset investing platform for self-directed individual retirement accounts. The company's platform has a simple interface which makes it easy and affordable for investors to access their retirement savings for investment in alternative assets, and for companies to receive investment from retirement accounts.","FinTech, Industrials, TMT",Information Technology,Software,6-Mar-19,Seed Round,Seed Round,2.8,10.3,2.8,7,"Alumni Ventures Group, Amplify.LA, Foundation Capital, Green D Ventures, Jake Gibson, Sequoia Capital, The Venture Center",www.altoira.com
Vizbee,11,"New York, NY",Privately Held (backing),"Provider of an online TV platform designed to make it simple to watch online video on any connected TV or streaming box. The company's online platform offers a mobile content application that automatically detect TVs and with one click, stream to the TV from their phone, operating as a remote control, enabling users to watch enhanced TVs with synchronized commerce opportunities.","Mobile, TMT",Information Technology,Software,15-Dec-17,Early Stage VC,Series A,5,17,8.71,7,"Armory Square Ventures, BRaVe Media Ventures, Core Capital Partners, Kinetic Ventures, Social Starts, Tegna, Turner Broadcasting System",www.vizbee.tv
Vemo Education,11,"Oakton, VA",Privately Held (backing),"Developer of income-based payment products designed to help colleges and universities to power their student financing programs. The company's products and services help educational institutions to develop, launch and implement custom and value-oriented student financing programs that more effectively use institutional resources and align the cost of a student's education with its value, enabling them to improve the enrollment mix, increase competitiveness in recruiting students and impact graduation and retention rates. The company's team of education finance experts design and deploy programs that enable post-secondary institutions to signal institutional commitment to their students by aligning the cost of college with student outcomes.","EdTech, FinTech, SaaS, TMT",Financial Services,Other Financial Services,11-Sep-17,Seed Round,Seed Round,7.4,13.6,10.9,8,"FastForward Innovations, Learn Capital, MCVC Partners, NextGen Venture Partners, Route 66 Ventures, Task Force X Capital, Teamworthy Ventures, University Ventures",www.vemo.com
My Ally,11,"San Jose, CA",Privately Held (backing),"Provider of a SaaS-based Artificial Intelligence (AI) platform created to reinvent recruitment. The company's artificial intelligence (AI) platform focuses on calendaring and automating recruiting coordination, improves time-to-hire, increases conversion rate, optimizes candidate experience by fully automating the scheduling and rescheduling of interviews with human speed and accuracy, enabling users to enhance their professional lives.","Artificial Intelligence & Machine Learning, HR Tech, SaaS, TMT",Information Technology,Software,10-Oct-18,Early Stage VC,Series A1,6.8,11.3,6.8,9,"Eileses Capital, Elixir Capital, Firebolt Ventures, Gokul Rajaram, Kludein, Malaysia Venture Capital Management, Narayan Ramachandran, Pranav Pai, Storm Ventures",www.myally.ai
CryptoMove,11,"Walnut Creek, CA",Privately Held (backing),"Provider of a cybersecurity platform designed to provide advanced enterprise data defense protection. The company's cybersecurity platform is a decentralized datastore that breaks the data into pieces and continually moves it around, making it virtually impossible for hackers to do anything, protecting enterprise data with dynamic movement, mutation, fragmentation and re-encryption, on any algorithm, in any environment cloud, edge, fog or IoT.","Cybersecurity, Internet of Things, TMT",Information Technology,Software,7-Mar-18,Early Stage VC,Series A,8.05,22.05,10.18,12,"408 Ventures, Alchemist Accelerator, Draper Associates, Ed Baum, Ken Baylor, Nick Bilogorskiy, Pathbreaker Ventures, Plug and Play Tech Center, Red Dog Capital, SkyDeck (Berkeley), Social Capital, US Department of Homeland Security",www.cryptomove.com
CFX Markets,11,"Chicago, IL",Privately Held (backing),"Developer of a trading platform designed to provide a open and secure network to facilitate secondary market transfers of private securities in alternative asset classes. The company's trading platform connects various leading portals and issuers across the United States and allows users to trade alternative assets such as public non-listed REITs and BDCs, enabling traders to reduce the networking barrier for trading private securities.","FinTech, TMT",Financial Services,Capital Markets/Institutions,20-Oct-17,Seed Round,Seed Round,2.17,,2.17,9,"David Krell, David Schwartz, Harvard Business School Alumni Angels of Chicago, M25, Origami Capital Partners, SixThirty, Startupbootcamp, Tribal Ventures, West Loop Ventures",www.cfxtrading.com
Maxwell Financial Labs,11,"Denver, CO",Privately Held (backing),"Provider of a SaaS platform designed to empower mortgage lenders to be more connected, productive and successful. The company's platform allows home-buyers to compare their mortgage offers while purchasing or refinancing, enabling loan officers to better serve their customers.","Big Data, FinTech, Mortgage Tech, Real Estate Technology, SaaS, TMT",Financial Services,Other Financial Services,6-Dec-17,Seed Round,Seed Round,3,15,5.62,21,"10K investments, Anthemis Group, Assurant Growth Investing, Cantos Ventures, David Clouse, Doug Godwin, Jose Brotons, Lion's Paw Investments, Mani Honigstein, Math Venture Partners, Montero Venture Partners, Plug and Play Tech Center, Ran Landmann, Right Side Capital Management, Route 66 Ventures, Shasta Ventures, Sovereign's Capital, Techstars, ThirdStream Partners, Timberline Holdings, Zelkova Ventures",www.himaxwell.com
ICX Media,11,"Washington, DC",Privately Held (backing),"Provider of a video data intelligence platform intended to transform the video economy. The company's video data intelligence platform offers an online platform for video creators, brands and media companies, that helps them in process of producing, distributing and marketing digital video contents, enabling them to distribute original digital video content cost-efficiently and effectively.","SaaS, TMT",Business Products and Services (B2B),Commercial Services,12-Oct-17,Early Stage VC,Series A,9.86,20.86,12.86,24,"ABS Capital Partners, Arthur Marks, Avonlea Capital, Blazar Ventures, Bobby Campbell, Brian O'Kelley, Darcy Antonellis, Franklin Raines, Grotech Ventures, Jay Markley, Jeffrey Ganek, Jim Mollica, KELLY NEWMAN ADVISORS, Mark Foster, Mary Styer, NRV, Pete Kaiman, Philip Herget, PJC, Revolution, Robert Poulin, Song Pak, Steve Pann, Ted Prince",www.icxmedia.com
Propel (Application Software),11,"Brooklyn, NY",Privately Held (backing),"Developer of a mobile application designed to check food stamps and cash balance instantly. The company's application allows users to instantly view their food stamps and benefits balance by creating an account with state EBT card, locate grocery stores, corner stores and farmer markets nearby as well as keep track of their spending on food stamps, enabling users to plan their shopping trips, save money on groceries and connect to other essential resources easily.","Mobile, Mobile Commerce, TMT",Information Technology,Software,1-Jan-19,Early Stage VC,,,,18.32,19,"Alexa von Tobel, Andreessen Horowitz, Blue Ridge Labs @ Robin Hood, Chmod Ventures, Financial Solutions Lab, Financial Venture Studio, GoodCompany Ventures, Jay Borenstein, Kleiner Perkins, Max Levchin, Nyca Partners, Omidyar Network, SciFi VC, Serena Ventures, The Durant Company, Thirtyfive Ventures, Uncharted, Village Capital, Winwin",www.joinpropel.com
Pensa,11,"Mountain View, CA",Privately Held (backing),"Provider of a cloud-based IT Infrastructure system designed to simplify the deployment of virtual networks. The company's IT Infrastructure system uses intelligent technology to collapse the cost and time required to design and deploy complete software-defined data centers, including compute, networking, storage, security and applications, enabling developers to create virtual IT test labs before deploying applications securely, while eliminating human errors.","SaaS, TMT",Information Technology,Software,4-Oct-17,Early Stage VC,Series A,4,11.5,4.35,2,"March Capital Partners, The Fabric",www.pensa.ai
Stratifi,11,"San Francisco, CA",Privately Held (backing),"Provider of a cloud-based portfolio risk management platform designed to provide better investment outcomes. The company's platform manages portfolio risk in real-time with customized option overlay strategies by leveraging machine learning, data science and automation, enabling investment advisors and wealth managers to manage their portfolios in real time and deliver better investment outcomes to their clients.","Artificial Intelligence & Machine Learning, FinTech, SaaS, TMT",Information Technology,Software,4-May-18,Early Stage VC,Series A,7,,7,27,"AngelList, Anthemis Group, Ashley Fontana, Aslanoba Capital, Carnegie Mellon University, Cboe Global Markets, Data Collective, Great Oaks Venture Capital, Hasan Aslanoba, HOF Capital (New York), Jeff Heitzman, Johnny Goodman, Kevin Mahaffey, Khosla Ventures, Luke Powell, Maiden Lane, Mark Scianna, Matt Hougan, Matthew Wyndowe, Michael Curcio, Robert Kunz, Surender Punia, TriplePoint Capital, TSVC, Wei Guo, Wolverine Trading, Y Combinator",www.stratifi.com
NaviStone,11,"Cincinnati, OH",Privately Held (backing),"Provider of a website visitor tracking technology designed to drive conversions by communicating with consumers who are ready to buy. The company's technology helps to identify first-party prospects and reactivation targets for inclusion in direct mail campaigns, enabling direct and digital marketers to target the right web browsers and include them in direct marketing campaigns.","Marketing Tech, SaaS, TMT",Information Technology,Software,25-May-18,Early Stage VC,Series B,,,6.6,6,"Bullpen Capital, CincyTech, Kinetic Ventures, North Coast Angel Fund, Queen City Angels, Vine Street Ventures",www.navistone.com
PriorAuthNow,11,"Columbus, OH",Privately Held (backing),"Provider of a cloud-based electronic prior authorization platform designed to offer insurance authorization services. The company's platform works with EHR system and connects directly with all insurance carriers in an economical way to submit, monitor and complete prior authorizations, thereby eliminating the need for lengthy phone calls, going to many different payer sites and filling out the many different authorization forms, enabling healthcare providers and payers to leverage a single platform to submit, monitor and complete the prior authorization process.","FinTech, HealthTech, InsurTech, TMT",Financial Services,Insurance,15-Mar-19,Early Stage VC,Series A,6.22,48.72,21.92,6,"Anthos Capital, BIP Capital, Detroit Venture Partners, NCT Ventures, OhioHealth, Rev1 Ventures",www.priorauthnow.com
Perpetua,11,"New York, NY",Privately Held (backing),"Developer of a sales growth software. The company's sales growth platform runs Amazon marketing which arranges recommendation for growth tactics for business sales, providing its users with a full-stack, digital growth product.","SaaS, TMT",Information Technology,Software,1-Jul-17,Seed Round,Seed Round,5.5,47.5,11.5,4,"Cherubic Ventures, Conversion Capital, Nyca Partners, S28 Capital",www.perpetua.io
Mission Secure,11,"Charlottesville, VA",Privately Held (backing),"Provider of a control system cybersecurity platform intended to offer cyber visibility and endpoint protection to operational technology (OT) and control systems. The company's platform takes operational technology cybersecurity to all levels of control systems while maintaining the benefits of a networked environment which can be deployed and managed by a non-IT professional, enabling companies to enhance their cybersecurity control systems.","Cybersecurity, TMT",Information Technology,Software,10-Oct-18,Early Stage VC,Series A,8,32,13.77,10,"Blue Bear Capital, Chevron Technology Ventures, Energy Innovation Capital, Felton Group, Macquarie Group, R/GA Ventures, The Ballast Fund, United States Department of Defense, UVA Funds, UVA LVG Seed Fund",www.missionsecure.com
ClearForce,11,"Vienna, VA",Privately Held (backing),"Developer of a patented-pending technology intended to offer risk management services. The company specializes in developing a technology which combines continual event-based alerts of employee misconduct and high-risk behaviour outside the workplace with a legal complaint adjudication platform, enabling organizations to partner with their employees to solve the shared objectives of reducing risk while providing full legal compliance and eliminating bias through transparency and fairness.",TMT,Information Technology,Software,7-Dec-18,Seed Round,Seed Round,1.2,8.7,4.87,2,"Centricus, Perot Jain",www.clearforce.com
Kelly Klee,11,"Englewood, CO",Privately Held (backing),"Provider of a hybrid human-robo advisory platform designed to offer plans to cover all important personal assets and wealth. The company's platform offers coverage for homes, cars, valuables and personal liability, enabling users to help control the unpredictability of insurance.","FinTech, InsurTech, TMT",Financial Services,Insurance,7-Mar-18,Seed Round,Seed Round,4.5,,4.5,5,"Coffin Capital & Ventures, David Fitzgerald, David Wong, Gary Tolman, Langdell Investments",www.kellyklee.com
Flutterwave,11,"San Francisco, CA",Privately Held (backing),"Developer of a cloud-based end-to-end digital payment platform designed to modernize payment infrastructure. The company's platform covers all aspects of processing payments, from providing the payment gateway API to managing payments risks and settlement as well as provides a payments processing system to connect directly to any local, international card schemes, mobile money and bank accounts across Africa, enabling users to accept and process payments on a website, mobile, automated teller machine (ATM) and point of sale (POS).","FinTech, Mobile, Mobile Commerce, SaaS, TMT",Information Technology,Software,14-Oct-18,Early Stage VC,Series A,10,,25.51,27,"4DX Ventures, Alrai Capital, Arab Angel, CRE Venture Capital, FinTech Collective, Glynn Capital, Golden Palm Investments, Google Developers Launchpad, Green Visor Capital, Greycroft, HOF Capital (New York), Khosla Impact, Khosla Ventures, LoftyInc Capital Management, Lynett Capital, LYVC, MasterCard, Musha Ventures, Omidyar Network, Plug and Play Tech Center, Raba Capital, Salesforce Ventures, Social Capital, Soma Capital, Tekton Ventures, The Venture Center, Y Combinator",www.flutterwave.com
Fathom (Wearable Sensor),11,"Durham, NC",Privately Held (backing),"Developer of artificial intelligence based wireless devices designed to help athletes avoid injuries. The company's devices are capable of transmitting alerts to users live for real time response and training, before they have a chance to cause injury as well as offers clear, usable feedback which mimics training cues for instant implementation, enabling athletes and coaches to mitigate injuries.","Artificial Intelligence & Machine Learning, TMT, Wearables & Quantified Self",Consumer Products and Services (B2C),Apparel and Accessories,5-Apr-18,Seed Round,Seed Round,3.01,8.01,3.36,11,"Adopt A Startup, Blackbox, Duke Angel Network, Grit Labs, Precursor Ventures, Revolution, RevvX Hardware Accelerator, Spero Ventures, The Helm, The Pink Ceiling, Victress Capital",www.fathomai.com
Ad Lightning,11,"Seattle, WA",Privately Held (backing),"Developer of an advertisement analytics platform created to eliminate bad advertisement and maximize revenue for publishers and ad platforms. The company's platform provides a proprietary intelligence tool that gives digital publishers insights to manage programmatic advertising creative, preserve brand integrity, protects audience experience and recover some of the lost revenues caused by slow-loading and non-compliant digital ad units that can impact consumer experience and reverses the consumer adoption of ad-blocking software, enabling marketing managers to analyze sales data, save time, improve page performance and manage brand productivity.","AdTech, Marketing Tech, SaaS, TMT",Information Technology,Software,1-Feb-19,Seed Round,Seed Round,2.27,10.27,5.27,10,"Alliance of Angels, Clear Fir Partners, Curious, Flying Fish Partners, Geoff Entress, Gregory Gottesman, Pioneer Square Labs, SeaChange Fund, Sinclair Digital Ventures, Verizon Media Tech Venture Studio with R/GA",www.adlightning.com
GoMeta,11,"San Diego, CA",Privately Held (backing),"Developer of a mobile platform intended to design augmented reality applications. The company's platform allows non-technical individuals and organizations to create, share and discover interactive content, enabling users to create virtual reality gaming applications.","Augmented Reality, Gaming, Mobile, TMT, Virtual Reality",Information Technology,Software,23-Apr-19,Seed Round,Seed Round,6,13.5,8,34,"Alex Bard, Arthur Bilger, BITKRAFT Esports Ventures, Denise Ho, Donald Dodge, Eric Torenberg, EvoNexus, Exponential Creativity Ventures, George Huang, Greylock Partners, Gunderson Dettmer, Jonathan Rosen, Jonathan Terleski, Jordan Greenhall, Josh Elman, Kelly Perdew, Loic Le Meur, Long Venture Partners, Mark Pincus, Michael Carter, Michael Eisner, Mike Jones, Moonshots Capital, MTGx, Nate Koechly, Next 10 Ventures, Pavni Diwanji, Rachel Lam, Richard Gingras, Roderick Chavez, Scott Kurnit, Taner Halicioglu, The Tornante Company, Thomas Charytoniuk",www.gometa.io
Bigstream,11,"Mountain View, CA",Privately Held (backing),"Developer of a hyper-acceleration technology based platform designed to accelerate big data and machine learning workflows. The company's platform is mainly used for big data processing engines like Apache Spark using both hardware and software accelerators, enabling users to accelerate big data, compute-intensive tasks on field-programmable gate array and graphical processing units without movements of data and to predict future usage trends and user preferences.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,19-Oct-17,Early Stage VC,Series A,5.7,21.7,7.22,6,"Cota Capital, Digital Horizon Capital, Intel Capital, Level.VC, Oriza Ventures, Plug and Play Tech Center",www.bigstream.co
3Deo,11,"Gardena, CA",Privately Held (backing),"Developer of metal 3D printing technology designed to build high-quality metal parts with drastically lower manufacturing costs. The company's technology specializes in manufacturing complex metal parts in low to medium volumes using intelligent layering technology and also provides consulting services on additive manufacturing design and implementation, enabling manufacturing industries to build industrial metal parts.","3D Printing, Advanced Manufacturing, Industrials, Manufacturing, TMT",Business Products and Services (B2B),Commercial Products,8-Feb-19,Early Stage VC,Series A,14.07,47.07,15.93,3,"Alpha Edison, FusionX Ventures, National Science Foundation",www.3deo.co
GEAenzymes,11,"Sunnyvale, CA",Privately Held (backing),"Developer of proteins by finding and manipulating specific enzyme activity. The company's proteins make enzymes and convert saturated fats into unsaturated fats from most vegetable oils, enabling food industry to reduce saturated fat levels while maintaining consistent aroma, taste and feel.",Life Sciences,Healthcare,Pharmaceuticals and Biotechnology,1-Mar-18,Accelerator/Incubator,,,,1.2,9,"Austral Incuba, Chrysalis (Chile), Doosan, Hi-Food, IndieBio, Plug and Play Tech Center, Ryan Bethencourt, SOSV, Start-Up Chile",www.geaenzymes.com
Gawkbox,11,"Seattle, WA",Privately Held (backing),"Provider of an online advertising platform designed to help streamers and content creators make money. The company's online advertising platform offers a suite of tools to help fans support and engage with their favorite content creators, enabling digital creators to make a living from creating content.","AdTech, TMT",Information Technology,Software,10-Aug-17,Early Stage VC,Series A,3.72,15.72,4.41,4,"Erlend Christofferson, Jonathan Zweig, London Venture Partners, Madrona Venture Group",www.gawkbox.com
GenXComm,11,"Austin, TX",Privately Held (backing),"Provider of an interference cancellation technology designed to maximize the use of the available spectrum. The company's interference cancellation technology helps in cellular network deployments to cope with new wireless devices, rapidly increasing data demands on the networks and full duplex or simultaneous transmission and reception of signals in the same channel and reduces the latency and improves network adaptability and security, enabling customers to bring differentiated products to market.",TMT,Information Technology,Communications and Networking,20-Nov-17,Early Stage VC,Series A,6.99,21,8.49,8,"Azure Capital Partners, Bandgap Ventures, Capital Factory, Flohr Asset Management, Intel Capital, Lip-Bu Tan, UT Horizon Fund, WS Investments",www.genxcomm.com
Digital Onboarding,11,"Boston, MA",Privately Held (backing),"Operator of a SaaS technology company intended to help banking customers activate financial services products for their new clients. The company's platform allows creating email and SMS reminders instantly that drive to personalized, digital journeys which educate and motivate customers and members to take action, enabling banks and credit unions to turn account holders into engaged and profitable relationships by making it easy to adopt account-related services.","FinTech, SaaS, TMT",Information Technology,Software,2-May-19,Accelerator/Incubator,,,,1.08,5,"DCU FinTech Innovation Center, Explorer Advisory & Capital, Finovate, Salesforce Ventures, The Venture Center",www.digitalonboarding.com
